barrio,longitude,latitude,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,source
Acacias Usaquén,"-74.03796256947527","4.725217104751297","0.0326802127659574","0.0222764574468085","0.1317865212765957","0.0506889255319148","0.256035085106383","0.170264159574468","0.1869277553191489","0.851063829787234","0.1595744680851064","0.0106382978723404","0.0","0.1595744680851064",2016north
Acapulco_,"-74.09502279824781","4.684687485179631","0.0499213461538461","0.0188293076923076","0.0629355","0.0508451538461538","0.3561036153846154","0.2603814615384615","0.0373170384615384","0.4230769230769231","0.0","0.0384615384615384","0.0","0.0769230769230769",2016north
Aguas Claras,"-74.10247054031676","4.695171146205479","0.0092214077669902","0.0046146019417475","0.0657401553398058","0.0876623203883495","0.3863690097087379","0.2573870970873786","0.0496237864077669","1.2233009708737863","0.058252427184466","0.0388349514563106","0.0","0.1262135922330097",2016north
Alameda,"-74.1258697886913","4.697160362171074","0.0140276301369863","0.0007090684931506","0.1081892465753424","0.0568187534246575","0.4873376438356164","0.1362478493150684","0.0528792465753424","1.1917808219178083","0.0","0.0410958904109589","0.0","0.0410958904109589",2016north
Alejandría,"-74.08182305881336","4.689018005461236","0.0401783571428571","0.0133663571428571","0.1289409285714285","0.0291613571428571","0.142536","0.2457279285714285","0.1650953571428571","0.7142857142857143","0.0","0.0714285714285714","0.0","0.1428571428571428",2016north
Alicante I y II,"-74.03101815748516","4.747408180262724","0.0566869285714285","0.0188355238095238","0.136125119047619","0.0284196428571428","0.0721198809523809","0.2503840476190476","0.2268551904761904","0.9761904761904762","0.1428571428571428","0.1428571428571428","0.0","0.0",2016north
Almendros de Suba,"-74.08741733283267","4.738695622538099","0.0321078888888888","0.0102747777777777","0.0951801111111111","0.0501097777777777","0.2064163333333333","0.2204716666666666","0.1726334444444444","2.7777777777777777","0.0","0.2222222222222222","0.0","0.1111111111111111",2016north
Almonacid,"-74.08923107480987","4.724654637702588","0.0052450416666666","0.0111612083333333","0.1499279166666667","0.0249984999999999","0.3002592083333333","0.2692307083333333","0.0087174166666666","3.375","0.0","0.0416666666666666","0.0","0.25",2016north
Altos de la Esperanza I Sector,"-74.08996414258313","4.71838347989975","0.020916625","0.0195439375","0.0879733749999999","0.0629975","0.38017625","0.217578","0.0145271875","1.9375","0.0","0.0625","0.0","0.0",2016north
Andalucía_,"-74.09701329238408","4.701924576062893","0.006291","4.210714285714285e-05","0.0700211071428571","0.0372695714285714","0.3861704642857143","0.1899511071428571","0.0808548571428571","1.25","0.0","0.1071428571428571","0.0","0.1071428571428571",2016north
Andes Norte - Las Palmas de la Flora,"-74.06869659622751","4.695499464128774","0.002685375","0.0","0.0810035","0.22283375","0.0797665","0.259702375","0.190076375","2.0","0.875","0.0","0.0","0.0",2016north
Andes Norte - Urb. Av. Suba II Etapa,"-74.06779675838466","4.694049114619233","0.0023913333333333","0.0","0.0320618333333333","0.1938166666666666","0.2464016666666666","0.2321648333333333","0.0671596666666666","0.5","1.0","0.0","0.0","0.1666666666666666",2016north
Arboleda del Country,"-74.03284613949015","4.708787299132629","0.0002398571428571","0.0003975714285714","0.1074604285714285","0.0357075714285714","0.0694094285714285","0.2833975714285714","0.2599718571428571","1.2857142857142858","0.5714285714285714","0.0","0.1428571428571428","0.4285714285714285",2016north
Arenera Buenavista,"-74.02443325514261","4.75787600792398","0.059517","0.0077274","0.129034","0.0389964","0.1528214","0.4170551999999999","0.0205078","2.0","0.0","0.0","0.0","0.0",2016north
Aures I,"-74.09705254762959","4.732939173336332","0.0001933181818181","0.0","0.0735882272727272","0.0906065909090909","0.5149455454545454","0.0976962272727272","0.0350665","2.5","0.0","0.0454545454545454","0.0","0.0454545454545454",2016north
Aures II,"-74.10245934666666","4.734437756666667","0.0011656666666666","0.0","0.275518","0.0373253333333333","0.2105791666666666","0.2320759999999999","0.0094749999999999","2.6666666666666665","0.0","0.1666666666666666","0.0","0.3333333333333333",2016north
Babilonia,"-74.03300959858318","4.741628240480534","0.0564797666666666","0.0110484666666666","0.1047037","0.0515466333333333","0.3013664333333333","0.1921035666666666","0.0526021666666666","1.4","0.4333333333333333","0.0333333333333333","0.0","0.1666666666666666",2016north
Bachue I y II,"-74.10121385841106","4.715022333475005","0.006330701863354","0.0016887950310559","0.0954221242236024","0.0423009068322981","0.2755848944099379","0.286822652173913","0.0872013167701863","1.1925465838509317","0.0372670807453416","0.0745341614906832","0.0","0.2360248447204969",2016north
Bahía Solano,"-74.1543614465887","4.67893752225316","0.000429875","0.001003525","0.1765838","0.003581625","0.0517417499999999","0.354397725","0.120987975","0.4","0.0","0.525","0.0","0.3",2016north
Balcones de Oriente,"-74.03471113252212","4.739620921741684","0.013429","0.0154198461538461","0.092456","0.0335872692307692","0.1328463461538461","0.2136233846153846","0.2164690384615384","1.4615384615384617","0.0","0.0769230769230769","0.0","0.0",2016north
Balcones de Vista Hermosa,"-74.02337731540977","4.768166626085044","0.0278771666666666","0.0048422777777777","0.0839028333333333","0.0383171111111111","0.3502611111111111","0.1983158888888888","0.0472691111111111","1.1111111111111112","0.0","0.0","0.0","0.0",2016north
Balmoral Norte,"-74.03629444951393","4.763407062316385","0.0460702857142857","0.0","0.1071491428571428","0.0612314285714285","0.4248803571428571","0.1708826428571428","0.0405553571428571","0.5714285714285714","0.0714285714285714","0.0714285714285714","0.0","0.1428571428571428",2016north
Barrancas II Sector,"-74.025378596524","4.7319546905495","0.00033525","0.0","0.0775444999999999","0.09824975","0.51257725","0.0911985","0.003307","6.0","0.0","0.0","0.0","0.0",2016north
Barrancas Norte,"-74.02590561191298","4.73401846746576","0.0134680454545454","0.0087704727272727","0.0769570454545454","0.0440859181818181","0.2157993181818182","0.2053612909090909","0.1095404909090909","1.490909090909091","0.0727272727272727","0.0454545454545454","0.0","0.0636363636363636",2016north
Barrancas Oriental - Servita,"-74.02243096760421","4.74127940099601","0.0116564","0.0039833","0.1373265","0.0059811","0.010064","0.3142466","0.2549905","1.0","0.0","0.3","0.0","0.4",2016north
Barrancas Perlas del Norte,"-74.0252561543086","4.7298616052792015","0.021348","0.0138332105263157","0.0771836240601503","0.0482434661654135","0.2456156541353383","0.1840736691729323","0.102547007518797","0.924812030075188","0.0676691729323308","0.0451127819548872","0.0","0.1353383458646616",2016north
Barrio Ciudad Hunza,"-74.088386851697","4.719413425793","0.0","0.0","0.1178242499999999","0.0526515","0.5132765","0.12487","0.003685","2.75","0.0","0.0","0.0","0.0",2016north
Batan Lote Niza XII,"-74.07072388318358","4.7069968439819","0.0271287307692307","0.0022557307692307","0.0866814615384615","0.0486193846153846","0.1014783461538461","0.4041162692307692","0.2313293846153846","1.3846153846153846","0.1153846153846153","0.0384615384615384","0.0","0.3076923076923077",2016north
Bella Suiza,"-74.03061942064095","4.70599118997909","0.0137230537313432","0.0224793820895522","0.1129199343283582","0.0488234089552238","0.2300840567164179","0.1534813462686567","0.188115471641791","0.6179104477611941","0.0746268656716417","0.026865671641791","0.0","0.1044776119402985",2016north
Bella Vista,"-74.085383338734","4.7277622858758","0.0","0.0","0.060999","0.00361875","0.76115525","0.03926525","0.0013525","0.25","0.0","0.0","0.0","0.0",2016north
Bellavista,"-74.08886750097476","4.678767941461619","0.00171646875","0.0001236145833333","0.06930596875","0.08173628125","0.4416528958333333","0.2270024166666666","0.0238933645833333","1.8854166666666667","0.0","0.0520833333333333","0.0","0.3229166666666667",2016north
Bellavista y Unicerros,"-74.02280840276624","4.703845498005725","0.0003008125","0.010544","0.0477237499999999","0.0144280625","0.479643","0.1140396875","0.1378509375","0.1875","0.0","0.0","0.0","0.0625",2016north
Belmira,"-74.02969127486111","4.719159100224819","0.0674895934959349","0.0284648455284552","0.1048847073170731","0.039755894308943","0.0828077804878048","0.1934368861788618","0.2845546097560975","0.2520325203252032","0.048780487804878","0.032520325203252","0.0","0.0975609756097561",2016north
Bernal y Forero,"-74.0586926297131","4.716203525660787","0.0095445","0.0","0.1189660333333333","0.0352372333333333","0.3414894333333333","0.1907719666666666","0.0002093","1.8","0.0","0.0333333333333333","0.0","0.1666666666666666",2016north
Bocacolina El Cedro,"-74.02386445213276","4.73171996144715","0.006091","0.0","0.1286195","0.0496405","0.2049845","0.22523725","0.1365195","2.75","0.0","0.0","0.0","0.0",2016north
Bochica Compartir,"-74.10789561521064","4.717347829207861","0.0713472","0.0075209666666666","0.1440530666666666","0.0241525666666666","0.1809452666666667","0.2005081666666666","0.2480860666666666","0.4666666666666667","0.0","0.0333333333333333","0.0","0.1333333333333333",2016north
Bochica I y II Sector,"-74.10663295578065","4.714426147144267","0.0035136666666666","0.0011843333333333","0.1426636666666666","0.035564","0.0511643333333333","0.4501246666666667","0.2164983333333333","1.3333333333333333","0.0","0.0","0.0","0.0",2016north
Bochica II,"-74.11133178095524","4.713284689064915","0.0543816846846846","0.0113151261261261","0.1193635495495495","0.0283808738738738","0.1000023243243243","0.2723664414414414","0.2241192162162162","1.6306306306306306","0.6936936936936937","0.054054054054054","0.0","0.1081081081081081",2016north
Bochica IV Etapa,"-74.107019671146","4.715345621928933","0.015038","0.0036409999999999","0.08237","0.0007781666666666","0.0455163333333333","0.4865721666666667","0.3046825","0.0","0.0","0.0","0.0","0.0",2016north
Bolivia Oriental,"-74.1126283194808","4.716236754631749","0.0123451999999999","0.0033298","0.2023121","0.01217595","0.1336978999999999","0.2618801","0.2177044","0.65","1.7","0.0","0.0","0.1",2016north
Bolivia Oriental II Etapa,"-74.11118305846308","4.71948297691089","0.0085568636363636","0.0007797272727272","0.1200547272727272","0.0045471818181818","0.0227278636363636","0.2143965909090909","0.3665520454545454","0.5909090909090909","1.6363636363636365","0.0","0.0","0.0454545454545454",2016north
