barrio,upz,graffiti_count,garbage_count,graffiti_exist,garbage_exist,file_count,garbage_exist_percentage,graffiti_exist_percentage
11 de Noviembre,98,68,0,30,0,114,0,0.263157895
12 de Octubre,22,261,0,101,0,188,0,0.537234043
12 de Octubre - Alcabaza,22,0,0,0,0,2,0,0
Abraham Lincon,47,229,0,76,0,112,0,0.678571429
Acevedo Tejada,107,215,0,99,0,201,0,0.492537313
Alfonso López,100,471,0,179,0,265,0,0.675471698
Alsacia,113,102,0,24,0,47,0,0.510638298
Altos de San Sebastián,75,6,0,2,0,6,0,0.333333333
Americas Occidental,44,15,0,2,0,2,0,1
Americas Occidental IV Etapa,44,0,0,0,0,1,0,0
Amparo Cañizares,80,29,0,11,0,30,0,0.366666667
Andalucía,46,29,0,16,0,35,0,0.457142857
Andalucía II Sector,46,39,0,20,0,38,0,0.526315789
Arbolete,47,0,0,0,0,10,0,0
Armenia,101,290,0,105,0,179,0,0.586592179
Ayacucho I,47,99,0,35,0,98,0,0.357142857
Banco Central,100,636,0,170,0,251,0,0.677290837
Banderas,47,50,0,22,0,44,0,0.5
Baquero,98,213,0,96,0,182,0,0.527472527
Barcelona,43,155,0,57,0,170,0,0.335294118
Barcelona - Urb. Los Eucaliptos,43,2,0,2,0,11,0,0.181818182
Barranquillita,82,42,0,11,0,18,0,0.611111111
Barrio El Tintal,46,84,0,42,0,76,0,0.552631579
Batallón Caldas,111,58,0,22,0,39,0,0.564102564
Bavaria I Sector,113,0,0,0,0,22,0,0
Bavaria Techo,46,58,0,29,0,50,0,0.58
Bavaria Techo II Sector,46,72,0,35,0,74,0,0.472972973
Bavaria Techo III,46,93,0,42,0,63,0,0.666666667
Belalcazar,100,204,0,87,0,160,0,0.54375
Bellavista,26,6,0,4,0,10,0,0.4
Bellavista - El Salitre,26,46,0,22,0,44,0,0.5
Bellavista - Urb. El Castillo,88,27,0,10,0,15,0,0.666666667
Bellavista Los Pantanos,115,0,0,0,0,4,0,0
Bellavista Sector Santa Cecilia,82,24,0,7,0,23,0,0.304347826
Bellavista_,82,190,0,57,0,72,0,0.791666667
Benjamín Herrera,98,187,0,82,0,142,0,0.577464789
Biblioteca Virgilio Barco,104,57,0,24,0,56,0,0.428571429
Bosque Calderón Tejada 2,90,12,0,4,0,31,0,0.129032258
Bosque Calderón Tejada III Sector,90,2,0,1,0,10,0,0.1
Bosque El Retiro I Sector,88,29,0,19,0,91,0,0.208791209
Bosque Izquierdo,92,4,0,3,0,11,0,0.272727273
Bosque Popular - El Trébol,26,23,0,12,0,25,0,0.48
Bosque de Modelia,114,9,0,7,0,35,0,0.2
Bosques de Kennedy,47,114,0,41,0,58,0,0.706896552
Bosques del Salitre,107,18,0,7,0,29,0,0.24137931
Brisas del Galán,43,9,0,4,0,7,0,0.571428571
Calandaima,79,163,0,61,0,109,0,0.559633028
Calandaima - Los Pantanos,79,40,0,18,0,70,0,0.257142857
Calarca I y II,81,62,0,21,0,22,0,0.954545455
Cama Vieja,107,38,0,9,0,11,0,0.818181818
Camavieja,115,210,0,103,0,211,0,0.488151659
Camelia II Sector,43,1,0,1,0,17,0,0.058823529
Camelia Sur IV Sector,43,1,0,1,0,21,0,0.047619048
Camilo Torres,111,6,0,3,0,6,0,0.5
Campin Occidental,106,45,0,29,0,83,0,0.34939759
Campo_Hermoso,82,100,0,23,0,25,0,0.92
Capellanía,114,24,0,10,0,19,0,0.526315789
Carlos Lleras Restrepo,110,22,0,18,0,35,0,0.514285714
Carolina Oriental,90,8,0,5,0,23,0,0.217391304
Carvajal,45,1362,0,422,0,643,0,0.6562986
Carvajal II,45,17,0,8,0,13,0,0.615384615
Casablanca - Urb. Manuel Mejia,47,38,0,19,0,25,0,0.76
Casablanca I,47,4,0,4,0,4,0,1
Castilla,46,221,0,86,0,160,0,0.5375
Castilla Real,46,188,0,106,0,233,0,0.454935622
Castilla Real - Santa Maria de los Ángeles,46,14,0,10,0,12,0,0.833333333
Castilla la Nueva,46,20,0,13,0,23,0,0.565217391
Catalina,48,132,0,30,0,34,0,0.882352941
Centenario,75,93,0,32,0,40,0,0.8
Centro Administrativo Occidental - CAN,104,514,0,254,0,593,0,0.428330523
Centro Industrial,111,788,0,307,0,445,0,0.68988764
Centro Nariño,107,232,0,74,0,109,0,0.678899083
Chapinero Occidental,100,491,0,189,0,263,0,0.718631179
Chico Alto,88,5,0,5,0,70,0,0.071428571
Chico Oriental,88,55,0,41,0,240,0,0.170833333
Ciudad Granada,82,57,0,32,0,41,0,0.780487805
Ciudad Kennedy Centro Cívico,47,144,0,41,0,55,0,0.745454545
Ciudad Kennedy Norte,47,110,0,34,0,42,0,0.80952381
Ciudad Kennedy Norte Supermanzana 9 A,47,36,0,17,0,24,0,0.708333333
Ciudad Kennedy Norte Supermanzana 9B,47,62,0,25,0,60,0,0.416666667
Ciudad Kennedy Norte Urb. Francisco José De Caldas,47,71,0,16,0,71,0,0.225352113
Ciudad Kennedy Oriental Supermanzana 16,47,172,0,55,0,97,0,0.567010309
