,barrio,count_objects_sum
0,11 de Noviembre,15
1,12 de Octubre,153
2,12 de Octubre - Alcabaza,0
3,Abraham Lincoln,1
4,Abraham Lincon,62
5,Acacias Usaquén,4
6,Acapulco_,7
7,Acegrasas,0
8,Acevedo Tejada,45
9,Acuarela I,0
10,Agua Dulce,0
11,Aguas Claras,70
12,Alameda,94
13,Alcalá,123
14,Alejandría,2
15,Alfonso López,187
16,Alicante I y II,3
17,Almendros de Suba,2
18,Almonacid,45
19,Alquería La Fragua,17
20,Alquería La Fragua Santa Yolanda,49
21,Alquería de la Fragua,78
22,Alsacia,3
23,Altos de Jalisco,0
24,Altos de San Sebastián,0
25,Altos de la Esperanza I Sector,25
26,Americas Occidental,0
27,Amparo Cañizares,5
28,Andalucía,16
29,Andalucía II,2
30,Andalucía II Sector,21
31,Andalucía_,16
32,Andes Norte - Las Palmas de la Flora,1
33,Andes Norte - Urb. Av. Suba II Etapa,4
34,Antonio Morales Galvis,3
35,Arboleda del Country,0
36,Arbolete,2
37,Arborizadora Alta,0
38,Arborizadora Baja,49
39,Arenera Buenavista,0
40,Argelia,0
41,Armenia,50
42,Atahualpa,0
43,Atenas,9
44,Aures I,17
45,Aures II,14
46,Autopista Sur,2
47,Avenida Caracas,4
48,Avenida Décima,17
49,Ayacucho I,37
50,Babilonia,86
51,Bachue I y II,95
52,Bahía Solano,7
53,Balcones de Oriente,2
54,Balcones de Vista Hermosa,6
55,Balmoral Norte,10
56,Banco Central,199
57,Banderas,0
58,Baquero,108
59,Barcelona,100
60,Barcelona - Urb. Los Eucaliptos,1
61,Barcelona Sur Oriental,0
62,Barrancas,0
63,Barrancas Norte,62
64,Barrancas Oriental - Servita,0
65,Barrancas Perlas del Norte,49
66,Barranquillita,20
67,Barrio El Tintal,55
68,Batallón Caldas,1
69,Batan Lote Niza XII,0
70,Bavaria I Sector,0
71,Bavaria Techo,89
72,Bavaria Techo II Sector,55
73,Bavaria Techo III,121
74,Belalcazar,57
75,Bella Suiza,53
76,Bella Vista,0
77,Bellavista,119
78,Bellavista - El Salitre,0
79,Bellavista - Urb. El Castillo,1
80,Bellavista Los Pantanos,0
81,Bellavista Sector Lucero,0
82,Bellavista Sector Santa Cecilia,0
83,Bellavista Sur Oriental,0
84,Bellavista y Unicerros,0
85,Bellavista_,96
86,Belmira,2
87,Belén,33
88,Benjamín Herrera,179
89,Bernal y Forero,103
90,Biblioteca Virgilio Barco,1
91,Bocacolina El Cedro,4
92,Bochica Compartir,0
93,Bochica I y II Sector,0
94,Bochica II,2
95,Bochica IV Etapa,0
96,Bochica Puente Aranda,42
97,Bolivia Oriental,5
98,Bolivia Oriental II Etapa,3
99,Bolivia Oriental III Etapa,0
100,Bolivia Sector Occidental,0
101,Bosque Calderón Tejada 2,0
102,Bosque Calderón Tejada III Sector,0
103,Bosque El Retiro I Sector,1
104,Bosque Izquierdo,0
105,Bosque Popular - El Trébol,6
106,Bosque de Modelia,3
107,Bosque de Pinos III,5
108,Bosque de Soratama,0
109,Bosque de los Urapanes,0
110,Bosques de Granada,15
111,Bosques de Kennedy,52
112,Bosques de Mariana,191
113,Bosques de Normandia,0
114,Bosques de San Jorge Suba,2
115,Bosques del Portal,0
116,Bosques del Salitre,0
117,Brisas del Galán,12
118,Britalia - El Pijao de Oro,0
119,Britalia - El Tibon Albacete,0
120,Britalia - Las Margaritas,5
121,Britalia Las Margaritas,18
122,Britalia San Diego 2,17
123,Buenavista,69
124,Buenavista II_Sector,0
125,Buenavista La Estrellita II,32
126,Burgos Britalia,1
127,Cabañas del Norte,1
128,Calamari,0
129,Calandaima,48
130,Calandaima - Los Pantanos,25
131,Calarca I y II,27
132,California,54
133,Calima Norte,2
134,Cama Vieja,18
135,Camavieja,5
136,Camelia II Sector,0
137,Camelia Sur IV Sector,0
138,Camilo Torres,0
139,Campanella,0
140,Campin Occidental,8
141,Campiña del Restrepo,1
142,Campo Hermoso,2
143,Campo_Hermoso,102
144,Campos de Silencio,5
145,Canadá San Luís,1
146,Canadá la Guira II Sector,1
147,Canaima,0
148,Candelaria la Nueva,75
149,Cantagallo - Carmel Club Campestre,3
150,Cantalejo,38
151,Canódromo,2
152,Canódromo - Urb. Atabanza,7
153,Canódromo - Urb. Tierra Linda,3
154,Caobos Salazar,55
155,Caobos Salazar Urb. Capri I y II Sector,4
156,Capellanía,7
157,Caracas,17
158,Carimagua I Sector,0
159,Carlos Lleras Restrepo,0
160,Carolina Oriental,0
161,Carvajal,493
162,Carvajal II,5
163,Casa Blanca I,8
164,Casa Blanca II,0
165,Casa Rey,0
166,Casablanca (Hacienda),0
167,Casablanca - Urb. Manuel Mejia,8
168,Casablanca I,0
169,Casablanca Sector Bellavista,5
170,Casablanca Sector El Plan,0
171,Casablanca Suba  - Valparaíso,0
172,Castañuela II,3
173,Castilla,221
174,Castilla Real,25
175,Castilla Real - Santa Maria de los Ángeles,6
176,Castilla la Nueva,2
177,Catalina,2
178,Cedritos,145
179,Cedro Bolívar,33
180,Cedro Bolívar II Sector,25
181,Cedro Madeira,0
182,Cedro Narváez,11
183,Cedro Norte,0
184,Cedro Salazar,44
185,Cementerio Jardines Apogeo,3
186,Centenario,5
187,Centro Administrativo,115
188,Centro Administrativo Occidental - CAN,2
189,Centro Industrial,113
190,Centro Industrial de Construcción,1
191,Centro Nariño,14
192,Centro Norte Usaquén,0
193,Cerros Norte,6
194,Cerros de Niza,0
195,Cerros de Santa Bárbara,1
196,Chaparral,0
197,Chapinerito,3
198,Chapinero Occidental,332
199,Chico Alto,0
200,Chico Norte - Urb. Conjunto de la Cien,0
201,Chico Norte - Urb. La Gran Vía,0
202,Chico Oriental,0
203,Chico Reservado,16
204,Chico Reservado II Sector,87
205,Ciudad Bachue II Etapa,26
206,Ciudad Berna,53
207,Ciudad Granada,68
208,Ciudad Hunza,2
209,Ciudad Hunza - El Jordán,6
210,Ciudad Jardín Norte,232
211,Ciudad Jardín del Sur,269
212,Ciudad Kennedy Centro Cívico,68
213,Ciudad Kennedy Norte,13
214,Ciudad Kennedy Norte Supermanzana 9 A,15
215,Ciudad Kennedy Norte Supermanzana 9B,18
216,Ciudad Kennedy Norte Urb. Francisco José De Caldas,1
217,Ciudad Kennedy Oriental Supermanzana 16,65
218,Ciudad Kennedy Oriental Supermanzana 2,1
219,Ciudad Kennedy Oriental Supermanzana 5,2
220,Ciudad Kennedy Oriental Supermanzana 6,18
221,Ciudad Kennedy Supermanza 12,0
222,Ciudad Kennedy Supermanzana 1,4
223,Ciudad Kennedy Supermanzana 11,89
224,Ciudad Kennedy Supermanzana 13 San Jorge,15
225,Ciudad Kennedy Supermanzana 3,1
226,Ciudad Kennedy Supermanzana 7,22
227,Ciudad Kennedy Supermanzana 8,52
228,Ciudad Montes III Sector,119
229,Ciudad Mónaco,5
230,Ciudad Salitre,15
231,Ciudad Salitre - Urb. Industrial Los Cambulos,3
232,Ciudad Salitre 3 A. Etapa,10
233,Ciudad Salitre Nororiental,27
234,Ciudad Salitre Occidental,32
