barrio,upz,graffiti_count,garbage_count,graffiti_exist,garbage_exist,file_count_GG,garbage_exist_percentage,graffiti_exist_percentage
Acacias Usaquén,13,75,0,33,0,86,0,0.38372093
Acapulco_,26,11,0,10,0,26,0,0.384615385
Aguas Claras,30,85,0,41,0,84,0,0.488095238
Alameda,74,94,0,41,0,66,0,0.621212121
Alejandría,26,12,0,8,0,15,0,0.533333333
Alicante I y II,10,43,0,20,0,46,0,0.434782609
Almendros de Suba,28,26,0,5,0,7,0,0.714285714
Almonacid,28,75,0,18,0,24,0,0.75
Altos de la Esperanza I Sector,28,47,0,17,0,20,0,0.85
Andalucía_,29,36,0,12,0,21,0,0.571428571
Andes Norte - Las Palmas de la Flora,25,23,0,7,0,8,0,0.875
Andes Norte - Urb. Av. Suba II Etapa,25,9,0,3,0,6,0,0.5
Arboleda del Country,15,16,0,5,0,9,0,0.555555556
Arenera Buenavista,9,1,0,1,0,1,0,1
Atahualpa,75,4,0,2,0,6,0,0.333333333
Aures I,28,76,0,21,0,25,0,0.84
Aures II,28,14,0,5,0,6,0,0.833333333
Babilonia,12,152,0,41,0,54,0,0.759259259
Bachue I y II,29,199,0,77,0,143,0,0.538461538
Bahía Solano,75,38,0,24,0,50,0,0.48
Balcones de Oriente,12,25,0,15,0,39,0,0.384615385
Balcones de Vista Hermosa,9,7,0,5,0,18,0,0.277777778
Balmoral Norte,9,15,0,5,0,9,0,0.555555556
Barrancas,11,1,0,1,0,3,0,0.333333333
Barrancas Norte,11,233,0,89,0,131,0,0.679389313
Barrancas Oriental - Servita,11,24,0,11,0,16,0,0.6875
Barrancas Perlas del Norte,11,144,0,81,0,139,0,0.582733813
Barrio Ciudad Hunza,28,9,0,3,0,4,0,0.75
Batan Lote Niza XII,24,41,0,13,0,22,0,0.590909091
Bella Suiza,14,275,0,149,0,346,0,0.430635838
Bella Vista,28,3,0,1,0,4,0,0.25
Bellavista,26,179,0,69,0,97,0,0.711340206
Bellavista y Unicerros,14,4,0,4,0,16,0,0.25
Belmira,13,52,0,36,0,124,0,0.290322581
Bernal y Forero,19,71,0,21,0,39,0,0.538461538
Bocacolina El Cedro,11,17,0,6,0,6,0,1
Bochica Compartir,72,22,0,13,0,30,0,0.433333333
Bochica I y II Sector,29,5,0,1,0,3,0,0.333333333
Bochica II,72,320,0,76,0,109,0,0.697247706
Bochica IV Etapa,72,0,0,0,0,6,0,0
Bolivia Oriental,72,51,0,6,0,19,0,0.315789474
Bolivia Oriental II Etapa,72,49,0,6,0,22,0,0.272727273
Bolivia Oriental III Etapa,72,9,0,6,0,29,0,0.206896552
Bolivia Sector Occidental,72,5,0,3,0,18,0,0.166666667
Bosque de Pinos III,13,25,0,15,0,40,0,0.375
Bosque de Soratama,11,0,0,0,0,1,0,0
Bosque de los Urapanes,23,16,0,9,0,18,0,0.5
Bosques de Granada,73,34,0,18,0,32,0,0.5625
Bosques de Mariana,73,277,0,100,0,142,0,0.704225352
Bosques de Normandia,31,1,0,1,0,3,0,0.333333333
Bosques de San Jorge Suba,27,10,0,3,0,3,0,1
Bosques del Portal,27,9,0,4,0,6,0,0.666666667
Britalia - El Pijao de Oro,18,9,0,4,0,6,0,0.666666667
Britalia - El Tibon Albacete,18,7,0,4,0,21,0,0.19047619
Britalia - Las Margaritas,18,7,0,5,0,8,0,0.625
Britalia Las Margaritas,18,29,0,15,0,36,0,0.416666667
Britalia San Diego 2,18,15,0,7,0,12,0,0.583333333
Buenavista,9,205,0,119,0,275,0,0.432727273
Buenavista II_Sector,9,0,0,0,0,3,0,0
Buenavista La Estrellita II,9,80,0,31,0,76,0,0.407894737
Burgos Britalia,23,25,0,9,0,16,0,0.5625
Cabañas del Norte,11,14,0,5,0,9,0,0.555555556
Calamari,12,1,0,1,0,19,0,0.052631579
California,11,21,0,12,0,18,0,0.666666667
Calima Norte,18,3,0,3,0,7,0,0.428571429
Campanella,27,25,0,8,0,9,0,0.888888889
