barrio,upz,graffiti_count,garbage_count,graffiti_exist,garbage_exist,file_count,garbage_exist_percentage,graffiti_exist_percentage
Abraham Lincoln,62,4,0,2,0,8,0,0.25
Acegrasas,42,2,0,2,0,5,0,0.4
Acuarela I,85,0,0,0,0,1,0,0
Alcalá,41,393,0,165,0,335,0,0.492537313
Alquería La Fragua,45,194,0,69,0,147,0,0.469387755
Alquería La Fragua Santa Yolanda,45,52,0,16,0,22,0,0.727272727
Alquería de la Fragua,45,437,0,167,0,267,0,0.625468165
Altamira Chiquita,50,3,0,3,0,3,0,1
Altos de Jalisco,67,26,0,13,0,20,0,0.65
Andalucía II,85,4,0,4,0,6,0,0.666666667
Antonio Morales Galvis,54,11,0,7,0,14,0,0.5
Antonio Morales II,54,9,0,4,0,6,0,0.666666667
Arborizadora Alta,70,16,0,8,0,10,0,0.8
Arborizadora Baja,65,406,0,144,0,245,0,0.587755102
Argelia,45,50,0,19,0,27,0,0.703703704
Atanasio Girardot,96,19,0,9,0,10,0,0.9
Atenas,34,140,0,63,0,103,0,0.611650485
Atenas I,34,1,0,1,0,6,0,0.166666667
Autopista Sur,41,100,0,39,0,103,0,0.378640777
Avenida Caracas,54,7,0,5,0,6,0,0.833333333
Avenida Décima,36,224,0,74,0,107,0,0.691588785
Barcelona Sur Oriental,34,16,0,13,0,30,0,0.433333333
Bellavista Sector Lucero,32,4,0,2,0,28,0,0.071428571
Bellavista Sur Oriental,50,41,0,14,0,29,0,0.482758621
Bello Horizonte,34,1,0,1,0,6,0,0.166666667
Belén,94,132,0,44,0,111,0,0.396396396
Bochica Puente Aranda,40,263,0,140,0,300,0,0.466666667
Bosque Izquierdo,92,5,0,4,0,36,0,0.111111111
Bosque de San José,51,1,0,1,0,9,0,0.111111111
Bosque de los Comuneros,40,3,0,2,0,6,0,0.333333333
Bosques de la Hacienda,54,7,0,3,0,6,0,0.5
Campiña del Restrepo,38,12,0,8,0,20,0,0.4
Canadá San Luís,51,1,0,1,0,6,0,0.166666667
Canadá la Guira II Sector,51,6,0,3,0,6,0,0.5
Candelaria la Nueva,66,299,0,109,0,155,0,0.703225806
Candelaria la Nueva II Sector 2 Etapa,65,20,0,13,0,24,0,0.541666667
Caracas,35,25,0,12,0,18,0,0.666666667
Carimagua I Sector,45,84,0,13,0,13,0,1
Carvajal,45,160,0,88,0,198,0,0.444444444
Casa Rey,57,9,0,7,0,10,0,0.7
Centro Administrativo,94,597,0,131,0,182,0,0.71978022
Chapinerito,59,8,0,7,0,10,0,0.7
Ciudad Berna,35,379,0,191,0,307,0,0.622149837
Ciudad Jardín del Sur,35,810,0,285,0,473,0,0.602536998
Ciudad Montes III Sector,40,261,0,135,0,239,0,0.564853556
Ciudadela Maria Micaela,34,4,0,2,0,10,0,0.2
Colmena III,66,24,0,4,0,4,0,1
Córdoba,34,8,0,3,0,3,0,1
Diana Carolina,37,24,0,8,0,10,0,0.8
Domingo Lain II el Bosque,67,13,0,3,0,4,0,0.75
Eduardo Frei,38,95,0,62,0,219,0,0.283105023
Eduardo Santos,37,723,0,310,0,501,0,0.618762475
Egipto,94,5,0,3,0,23,0,0.130434783
Egipto 2,94,47,0,20,0,65,0,0.307692308
El Angulo,34,12,0,7,0,13,0,0.538461538
El Carmen_,42,405,0,158,0,330,0,0.478787879
El Consuelo,96,22,0,12,0,57,0,0.210526316
El Futuro,32,31,0,6,0,7,0,0.857142857
El Guavio,96,6,0,3,0,15,0,0.2
El Jazmín I Sector,40,17,0,11,0,24,0,0.458333333
El Jazmín II Sector,40,126,0,63,0,143,0,0.440559441
El Listón,102,232,0,84,0,117,0,0.717948718
El Lucero,67,111,0,31,0,39,0,0.794871795
El Mirador Sur I y II,54,0,0,0,0,1,0,0
El Paraíso Sur Oriental I Sector,51,3,0,1,0,8,0,0.125
El Paraíso Urb. Antioquia,51,14,0,6,0,8,0,0.75
El Poblado,50,0,0,0,0,3,0,0
El Portal del Divino,61,5,0,4,0,5,0,0.8
El Progreso,37,294,0,123,0,186,0,0.661290323
El Progreso I Sector,45,3,0,3,0,5,0,0.6
El Progreso II Sector,45,77,0,28,0,47,0,0.595744681
El Progreso_,45,4,0,4,0,5,0,0.8
El Puerto La Loma de San Carlos,54,35,0,12,0,18,0,0.666666667
El Refugio Sur,34,14,0,4,0,6,0,0.666666667
El Socorro,54,34,0,18,0,29,0,0.620689655
El Sosiego,33,388,0,123,0,187,0,0.657754011
El Tablón,32,1,0,1,0,13,0,0.076923077
El Uval,61,1,0,1,0,5,0,0.2
El Uval II Sector,59,3,0,3,0,5,0,0.6
El Vergel_,37,452,0,179,0,290,0,0.617241379
El_Consuelo,54,24,0,13,0,40,0,0.325
El_Dorado,96,65,0,21,0,45,0,0.466666667
El_Pénsil,45,1,0,1,0,3,0,0.333333333
El_Triángulo,42,21,0,11,0,27,0,0.407407407
Escuela General Santander,42,283,0,81,0,119,0,0.680672269
Fabrica de Loza,94,16,0,9,0,38,0,0.236842105
Fabrica de_Loza,96,18,0,12,0,33,0,0.363636364
Floralia I Sector,45,85,0,44,0,106,0,0.41509434
Floralia II Sector,45,63,0,27,0,59,0,0.457627119
Florida del Sur,67,5,0,2,0,3,0,0.666666667
Fátima,42,814,0,344,0,660,0,0.521212121
Gran Yomasa I,57,20,0,14,0,20,0,0.7
Granada Sur,34,23,0,8,0,13,0,0.615384615
Guacamayas III Sector,50,0,0,0,0,3,0,0
Guadalupe,45,4,0,1,0,3,0,0.333333333
Guaitiquia,65,32,0,14,0,18,0,0.777777778
Guiparma,54,7,0,3,0,3,0,1
Gustavo Restrepo,36,469,0,189,0,281,0,0.672597865
Hacienda Los Molinos,54,42,0,27,0,58,0,0.465517241
Hermanos Barragán,85,0,0,0,0,4,0,0
Jerusalén,70,82,0,25,0,31,0,0.806451613
Jorge Gaitan Cortes,40,34,0,19,0,66,0,0.287878788
José Antonio Galán,85,33,0,13,0,19,0,0.684210526
Juan Pablo,67,3,0,2,0,10,0,0.2
Julio Cesar Turbay - S.C. San Francisco Rural,96,6,0,5,0,70,0,0.071428571
La Alameda,93,532,0,117,0,145,0,0.806896552
La Alquería,41,437,0,152,0,286,0,0.531468531
La Asunción,40,191,0,85,0,182,0,0.467032967
La Capilla,85,2,0,2,0,7,0,0.285714286
La Capuchina,93,1255,0,266,0,308,0,0.863636364
La Carolina,54,8,0,6,0,8,0,0.75
La Castaña,32,6,0,3,0,5,0,0.6
La Catedral,94,446,0,87,0,105,0,0.828571429
La Colmena,50,22,0,12,0,23,0,0.52173913
La Coruña,65,104,0,45,0,80,0,0.5625
La Estación,85,27,0,11,0,14,0,0.785714286
La Estanzuela_,102,1113,0,374,0,556,0,0.672661871
La Favorita,102,432,0,110,0,125,0,0.88
La Florida Alto de Pijaos,36,7,0,5,0,23,0,0.217391304
La Fragua,37,39,0,16,0,23,0,0.695652174
La Fragua - Urb. Ciudad de Quito,38,189,0,55,0,64,0,0.859375
La Fragua - Urb. Sargento Paez Pabon,38,26,0,10,0,17,0,0.588235294
La Fraguita,38,255,0,110,0,184,0,0.597826087
La Gloria,50,95,0,41,0,96,0,0.427083333
La Gloria Baja,50,32,0,9,0,23,0,0.391304348
La Grovana,50,8,0,5,0,20,0,0.25
La Guaca,41,41,0,26,0,96,0,0.270833333
La Guaca IV Sector,40,12,0,8,0,19,0,0.421052632
La Nueva Gloria,51,119,0,59,0,176,0,0.335227273
La Nueva Gloria II Sector,51,1,0,1,0,15,0,0.066666667
La Paz Central,92,9,0,5,0,17,0,0.294117647
La Pepita,102,620,0,177,0,221,0,0.800904977
La Peña,96,1,0,1,0,24,0,0.041666667
La Playa II,67,5,0,4,0,8,0,0.5
La Ponderosa,40,15,0,7,0,14,0,0.5
La Sabana,102,262,0,103,0,189,0,0.544973545
La Sagrada Familia,32,10,0,7,0,40,0,0.175
La Sierra,51,9,0,5,0,21,0,0.238095238
La Victoria,50,18,0,3,0,3,0,1
La_Alameda,67,12,0,6,0,16,0,0.375
La_Concordia,94,55,0,14,0,50,0,0.28
La_Fragua,38,184,0,81,0,138,0,0.586956522
Laguneta,42,25,0,6,0,13,0,0.461538462
Las Aguas,92,139,0,55,0,153,0,0.359477124
Las Aguas_,94,128,0,42,0,110,0,0.381818182
Las Carabelas,40,384,0,214,0,560,0,0.382142857
Las Cruces,95,466,0,156,0,226,0,0.690265487
Las Delicias del_Sur,67,49,0,28,0,57,0,0.49122807
Las Delicias_,45,30,0,11,0,24,0,0.458333333
Las Guacamayas,50,207,0,89,0,236,0,0.377118644
Las Lomas,53,77,0,29,0,62,0,0.467741935
Las Nieves,93,1052,0,212,0,331,0,0.640483384
Las Torres,45,43,0,16,0,28,0,0.571428571
Las Violetas La Asunción,40,43,0,12,0,34,0,0.352941176
Laureles La Estación,85,0,0,0,0,1,0,0
Los Altos del Zuque,50,6,0,5,0,46,0,0.108695652
Los Chircales,54,68,0,28,0,42,0,0.666666667
Los Laches,96,64,0,30,0,84,0,0.357142857
Los Libertadores,51,92,0,27,0,62,0,0.435483871
Los Libertadores Sector El Tesoro,51,1,0,1,0,5,0,0.2
Los Libertadores Sector La Colina,51,5,0,1,0,4,0,0.25
Los Libertadores Sector San Ignacio,51,45,0,10,0,15,0,0.666666667
Los Libertadores Sector San Isidro,51,27,0,6,0,8,0,0.75
Los Libertadores Sector San José,51,5,0,3,0,4,0,0.75
Los Molinos I Sector,54,68,0,22,0,25,0,0.88
Los Pijaos,36,35,0,22,0,32,0,0.6875
Los Puentes,50,0,0,0,0,4,0,0
Los_Ángeles,41,79,0,38,0,72,0,0.527777778
Lourdes,96,23,0,16,0,43,0,0.372093023
Lourdes II,94,69,0,37,0,90,0,0.411111111
Lucero Bajo,67,39,0,7,0,8,0,0.875
Lucero Medio,67,15,0,8,0,29,0,0.275862069
Lucero Sur Bajo,67,74,0,20,0,27,0,0.740740741
Luna Park,38,2,0,2,0,6,0,0.333333333
