objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,barrio,longitude,latitude,upz_code,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,population_y,pop_density_y,murder_rate,source,Matched_Barrio,Cantidad
206,14,Los Mártires,LEGALIZADO,santa fe,140018,5.76E-05,0.031034246,102,706923.4043,7765,10984.21689,0.028669689,0,0.12734235,0.843987961,0,0,0,17911.19345,7087.425153,0.395698097,6962.026092,0.38869694,0,0,1732.099158,0.096704843,0,0,937.0014783,0.052313738,1161.548215,0.064850409,Santa Fe,-74.07722726,4.615438426,102,0.009534883,0.013016561,0.134553724,0.057856127,0.359042483,0.204049061,0.04677861,1.437116564,0.207055215,0.085889571,0,0.122699387,7765,10984.21689,0.000901481,2016central,santa fe,22
3750,11,,LEGALIZADO,bellavista,110039,6.82E-07,0.004055729,28,8366.310365,3871,462689.0267,0,0,0,0.004754589,0.010831655,0,0.984413756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bellavista,-74.0888675,4.678767941,26,0.001716469,0.000123615,0.069305969,0.081736281,0.441652896,0.227002417,0.023893365,1.885416667,0,0.052083333,0,0.322916667,3871,462689.0267,0.000774994,2016north,bellavista,22
28,1,Usaquén,LEGALIZADO,san bernardo,10187,7.82E-07,0.003642058,16,9592.693685,81,8443.926457,0,0,0,0,0,0,1,124.8422834,0,0,0,0,0,0,124.8422834,1,0,0,0,0,0,0,San Bernardo,-74.03709418,4.691362275,16,0.083321,0.007533,0.0711205,0.003836,0.124579,0.417982,0.2225375,0,0,0.5,0,0,81,8443.926457,0.160493827,2016north,san bernardo,13
3849,15,Antonio Nariño,LEGALIZADO,restrepo,150012,3.65E-05,0.026300582,38,447762.417,4996,11157.70286,0.096281355,0,0,0.903718645,0,0,0,12695.84527,6281.566196,0.494773374,5440.017296,0.428487996,0,0,0,0,597.1255963,0.04703315,260.0685504,0.02048454,0,0,Restrepo,-74.10131107,4.585136771,38,0.002660818,0.00198222,0.081988566,0.062159981,0.388952862,0.185449877,0.028262186,3.160377358,0.044025157,0.103773585,0,0.132075472,4996,11157.70286,0.00020016,2016south,restrepo,12
2336,11,,LEGALIZADO,santa rita,110608,9.55E-07,0.004300045,71,11720.64025,625,53324.73198,0,0,1,0,0,0,0,512.7213242,207.4569891,0.404619389,305.2643351,0.595380611,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,santa rita,11
617,4,San Cristóbal,LEGALIZADO,la victoria,40087,1.43E-06,0.004843069,50,17507.56178,627,35813.09653,0,0,1,0,0,0,0,617.5042821,419.5384157,0.679409727,197.9658664,0.320590273,0,0,0,0,0,0,0,0,0,0,La Victoria,-74.09194068,4.551810472,50,0,0,0.01976275,0.086467625,0.48436725,0.110173125,0.005316125,3.5,0,0.125,0,1.5,627,35813.09653,0.015948963,2016south,la victoria,11
1827,7,Bosa,LEGALIZADO,el recuerdo,70090,1.72E-05,0.0210845,86,210445.9107,9746,46311.18736,0.061491559,0.934221785,0.004286657,0,0,0,0,8616.096533,3045.185026,0.353429771,5570.911507,0.646570229,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,el recuerdo,10
1631,7,Bosa,LEGALIZADO,el recuerdo,70089,1.85E-06,0.005452955,84,22709.93998,9746,429151.2883,0,0,1,0,0,0,0,746.0841599,26.44853261,0.035449798,717.9483507,0.962288692,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,el recuerdo,10
3012,12,Barrios Unidos,LEGALIZADO,la paz,120026,2.64E-05,0.021423133,98,323843.6067,3351,10347.58732,0.017165501,0,0,0.982834499,0,0,0,8662.419856,3113.677922,0.359446664,3830.67045,0.44221713,0,0,1560.061337,0.180095327,0,0,0,0,158.0101473,0.018240878,La Paz,-74.1424977,4.709181716,74,0.027887,0,0.168352667,0.004314333,0.288597,0.301436333,0.050492333,0,0,0,0,0.333333333,3351,10347.58732,0.000298418,2016north,la paz,10
3040,14,Los Mártires,LEGALIZADO,el progreso,140005,2.27E-05,0.023431741,37,278461.5761,5348,19205.52226,0.104646781,0,0,0.895353219,0,0,0,8493.466691,3749.974703,0.441512852,3070.896346,0.361559827,0,0,243.5439137,0.028674265,364.9635054,0.042969911,3.377950497,0.000397712,850.6090464,0.100148629,El Progreso,-74.08730451,4.721678465,28,0.022295667,0,0.011353917,0.02284125,0.843975083,0.03298075,0.000879583,0.333333333,0,0,0,0,5348,19205.52226,0.000186986,2016north,el progreso,10
