barrio,longitude,latitude,upz_code,Cantidad,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,population,pop_density,murder_rate
11 de Noviembre,-74.07092216603334,4.6680353625875926,98.0,0.0,0.004128308333333333,0.0019008583333333334,0.076733175,0.032900425,0.3421919333333333,0.13888654166666664,0.024995333333333335,0.7,0.016666666666666666,0.08333333333333333,0.0,1.225,1785.0,13497.1915462528,0.0
12 de Octubre,-74.07471484203639,4.669272194238896,22.0,2.0,0.006186752747252748,0.012573472527472526,0.07409443956043957,0.049582219780219774,0.3307273241758242,0.240725032967033,0.023246752747252745,1.1538461538461537,0.02197802197802198,0.038461538461538464,0.0,0.23076923076923078,4163.0,11732.611258465155,0.00048042277203939464
12 de Octubre - Alcabaza,-74.07516391801266,4.6720165353269,22.0,0.0,0.0019873333333333336,0.0844755,0.07265183333333333,0.10428616666666668,0.3732071666666667,0.25824966666666666,0.0033276666666666667,0.5,0.0,0.0,0.0,0.5,208.0,51058.78858500655,0.0
Abraham Lincon,-74.1617546883338,4.616078912797288,47.0,1.0,0.01200208888888889,0.0038576444444444443,0.09633362222222222,0.04328395555555556,0.3086567333333333,0.2682944222222222,0.05747742222222222,1.4666666666666666,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.06666666666666667,1176.0,22376.131063547204,0.0008503401360544217
Acevedo Tejada,-74.08167872207034,4.630752208309349,107.0,0.0,0.024333015625,0.008230192708333334,0.09321514062500001,0.04995997916666667,0.2447698489583333,0.27346986979166665,0.04995002604166667,0.6041666666666666,0.057291666666666664,0.16666666666666666,0.0,0.21354166666666666,2382.0,12899.345041448521,0.0
Alfonso López,-74.07291393908928,4.638378811941576,100.0,,0.021146072727272727,0.005421210909090909,0.10875510545454546,0.07056560363636363,0.4004522109090909,0.19302898181818182,0.03252418181818182,1.4581818181818182,0.03272727272727273,0.02181818181818182,0.0,0.12363636363636364,6408.0,19588.50293305438,
Alsacia,-74.12274453718032,4.639930741743893,113.0,2.0,0.031308243902439026,0.012113926829268292,0.11691865853658537,0.028872585365853656,0.062718,0.34203436585365854,0.06694756097560976,0.975609756097561,0.0,0.2682926829268293,0.0,0.12195121951219512,8.0,87.55664764934225,0.25
Altos de San Sebastián,-74.1354439552582,4.671244316856201,75.0,0.0,0.40501319999999996,0.012401400000000002,0.0013172,0.0362554,0.0009764,0.0287472,0.3064302,1.2,0.0,0.0,0.0,0.2,789.0,17894.647074991197,0.0
Americas Occidental,-74.140155911961,4.6197524041176,44.0,0.0,0.0,0.0,0.0721705,0.0291875,0.087471,0.30834,0.23548950000000002,1.5,5.0,0.0,0.0,1.5,2102.0,17024.758649207197,0.0
Amparo Cañizares,-74.16200222334446,4.626302967786064,80.0,0.0,0.04245240909090909,0.0,0.07044295454545456,0.019030954545454545,0.21824918181818181,0.09318654545454547,0.01176531818181818,0.22727272727272727,0.0,0.0,0.0,0.8636363636363636,2947.0,51319.493889410485,0.0
Andalucía,-74.13876193786261,4.653457486373138,46.0,,0.024765458333333334,0.0033190833333333336,0.0587844375,0.062215208333333334,0.4977557291666667,0.13512760416666666,0.02727425,0.8333333333333334,0.020833333333333332,0.020833333333333332,0.0,0.0625,9893.0,68697.20457163763,
Andalucía,-74.13876193786261,4.653457486373138,46.0,,0.024765458333333334,0.0033190833333333336,0.0587844375,0.062215208333333334,0.4977557291666667,0.13512760416666666,0.02727425,0.8333333333333334,0.020833333333333332,0.020833333333333332,0.0,0.0625,9893.0,168807.00140216603,
Andalucía II Sector,-74.13635130436727,4.653978512382609,46.0,0.0,0.02827857777777778,0.03434031111111111,0.058998155555555556,0.07016664444444444,0.46379008888888884,0.12346486666666667,0.0499786,0.8444444444444444,0.022222222222222223,0.0,0.0,0.044444444444444446,2556.0,63999.062628112755,0.0
Armenia,-74.0728200597452,4.618693073355662,101.0,0.0,0.02688675135135135,0.01789627027027027,0.12309604324324323,0.06794744864864864,0.2970501243243243,0.21760204864864865,0.08530208108108107,0.9351351351351351,0.06486486486486487,0.07027027027027027,0.0,0.11351351351351352,2111.0,11940.943604335409,0.0
Ayacucho I,-74.15111353887443,4.628001100162383,47.0,0.0,0.007922601851851853,0.0012724814814814814,0.09720016666666666,0.023084731481481484,0.3229223055555555,0.12086152777777777,0.1308592962962963,0.6666666666666666,0.05555555555555555,0.08333333333333333,0.0,0.9444444444444444,1283.0,21673.35345344083,0.0
Banco Central,-74.07019916754489,4.642267641997647,100.0,0.0,0.04153446956521739,0.013230382608695652,0.09062803913043478,0.09394227391304347,0.2944381086956522,0.1854903304347826,0.11799359130434782,2.0434782608695654,0.13478260869565217,0.09565217391304348,0.0,0.16956521739130434,2373.0,15107.882454391241,0.0
Banderas,-74.14895286379134,4.628924096271575,47.0,0.0,0.012875041666666668,0.032728291666666666,0.09396845833333334,0.01767702083333333,0.11081400000000001,0.2386010625,0.1532529375,0.6666666666666666,0.020833333333333332,0.0,0.0,1.0208333333333333,2423.0,31212.217337206526,0.0
Baquero,-74.06882540876236,4.651941821983993,98.0,0.0,0.030818780373831775,0.01471303738317757,0.10660104205607476,0.06181923831775701,0.3025826074766355,0.2638188504672897,0.0548522429906542,1.1542056074766356,0.06074766355140187,0.0794392523364486,0.0,0.14953271028037382,2053.0,15640.041160868395,0.0
Barcelona,-74.11471251117601,4.617196678414418,43.0,1.0,0.017247298913043475,0.004424054347826087,0.09438263586956522,0.042334804347826084,0.3099312663043478,0.18695128804347827,0.09161073369565217,0.8315217391304348,0.11413043478260869,0.06521739130434782,0.0,0.2391304347826087,3968.0,29045.452755995626,0.00025201612903225806
Barcelona - Urb. Los Eucaliptos,-74.11410339516841,4.619807909144042,43.0,0.0,0.03984783333333333,0.018205333333333334,0.05828466666666667,0.08773274999999998,0.48702933333333337,0.15179,0.0005043333333333333,1.1666666666666667,0.0,0.0,0.0,0.08333333333333333,563.0,33841.78909792029,0.0
Barranquillita,-74.166709285037,4.63347420975928,82.0,0.0,0.0022776999999999997,0.006303100000000001,0.0846777,0.0360109,0.2828974,0.1650679,0.0036135,2.2,0.0,0.0,0.0,0.2,4167.0,66184.12935147161,0.0
Barrio El Tintal,-74.13788561402299,4.651662434123397,46.0,0.0,0.016849046153846154,0.007368338461538461,0.08021132307692308,0.05169209230769231,0.4213796615384615,0.17361123076923077,0.010610153846153846,1.123076923076923,0.015384615384615385,0.06153846153846154,0.0,0.1076923076923077,1013.0,21980.760521446966,0.0
Batallón Caldas,-74.10402752253704,4.628958893610607,111.0,0.0,0.013841651162790698,0.04971558139534884,0.08380397674418605,0.021178511627906977,0.08108181395348837,0.21595493023255813,0.10191809302325582,0.4883720930232558,0.13953488372093023,0.7674418604651163,0.0,0.046511627906976744,73.0,267.3100469296009,0.0
Bavaria I Sector,-74.13615832801612,4.63156974645934,113.0,0.0,0.0033564545454545457,0.0025753181818181817,0.121961,0.005850818181818182,0.3245780909090909,0.19296168181818182,0.023922999999999996,0.13636363636363635,0.0,0.0,0.0,1.0454545454545454,747.0,9639.99676358685,0.0
Bavaria Techo,-74.13904060748365,4.640127908741275,46.0,0.0,0.002604764705882353,0.0001835098039215686,0.12396717647058825,0.03241056862745098,0.2713122549019608,0.3020543137254902,0.03807370588235294,1.2156862745098038,0.0,0.0,0.0,0.27450980392156865,1881.0,12736.352927921771,0.0
Bavaria Techo II Sector,-74.13758119073205,4.6384218069735565,46.0,0.0,0.003954513513513514,0.0026604054054054052,0.1555958108108108,0.020042405405405406,0.20721763513513514,0.33233286486486485,0.051018405405405406,0.8783783783783784,0.0,0.08108108108108109,0.0,0.7567567567567568,2216.0,13417.887323636187,0.0
Bavaria Techo III,-74.14040007816705,4.639414121041337,46.0,0.0,0.0023004749999999997,0.0012824,0.12188810000000001,0.028950325,0.226008775,0.34031875,0.046997375,1.275,0.0,0.125,0.0,0.15,871.0,11154.869528493115,0.0
Belalcazar,-74.07793859440503,4.639484922489221,100.0,0.0,0.021609024691358024,0.005076364197530864,0.1182988950617284,0.05027001234567901,0.27576327777777776,0.21422603086419753,0.10104122222222221,0.8518518518518519,0.09876543209876543,0.08024691358024691,0.0,0.1419753086419753,5442.0,20660.043118647158,0.0
Bellavista,-74.08925986736983,4.675098996954866,26.0,3.0,0.0,0.0,0.06741791666666667,0.026477,0.554242,0.12763141666666666,0.014447,0.3333333333333333,0.0,0.0,0.0,0.0,3871.0,462689.026736893,0.0007749935417204857
Bellavista,-74.08925986736983,4.675098996954866,26.0,3.0,0.0,0.0,0.06741791666666667,0.026477,0.554242,0.12763141666666666,0.014447,0.3333333333333333,0.0,0.0,0.0,0.0,3871.0,30623.458133304728,0.0007749935417204857
Bellavista - El Salitre,-74.08899648029171,4.672702484712738,26.0,0.0,0.018534758620689654,0.011883586206896554,0.12361887931034483,0.04678796551724138,0.04414115517241379,0.3418793103448276,0.1465742931034483,1.2241379310344827,0.1896551724137931,0.1896551724137931,0.0,0.08620689655172414,,,
Bellavista - Urb. El Castillo,-74.0547397257165,4.65601236231015,88.0,0.0,0.001187375,0.000870375,0.14409075,0.056328875,0.29597450000000003,0.156122,0.097735625,1.5,0.0,0.0,0.0,0.0,331.0,18480.420664911013,0.0
Bellavista Los Pantanos,-74.13360390650774,4.671305273818675,115.0,0.0,0.26953574999999996,0.0,0.2362595,0.03481525,0.03360975,0.134775,0.03726725,0.0,0.0,0.0,0.0,0.0,1134.0,6113.048393820004,0.0
Bellavista Sector Santa Cecilia,-74.17103039275631,4.644539282964531,82.0,0.0,0.005699347826086957,0.0001766086956521739,0.07995391304347826,0.03184765217391305,0.5879972173913044,0.15641365217391304,0.013306608695652174,0.8695652173913043,0.0,0.0,0.0,0.0,634.0,38116.79547482332,0.0
Bellavista_,-74.17170795637956,4.64380486997418,82.0,0.0,0.02015812121212121,0.0017752272727272725,0.0766900909090909,0.09919571212121212,0.39980669696969695,0.16778607575757576,0.010957969696969697,1.803030303030303,0.2878787878787879,0.0,0.0,0.09090909090909091,2364.0,40746.46801818413,0.0
Benjamín Herrera,-74.07617980114172,4.653932428685409,98.0,0.0,0.012250774647887323,0.003302711267605634,0.10826129577464788,0.04559654929577465,0.2452050070422535,0.29570296478873237,0.04023384507042253,1.380281690140845,0.09154929577464789,0.08450704225352113,0.0,0.2112676056338028,1655.0,9188.904205204522,0.0
Biblioteca Virgilio Barco,-74.08897238315907,4.6562219327446766,104.0,0.0,0.003182550724637681,0.008737014492753622,0.17439789855072463,0.02972104347826087,0.012174072463768115,0.2764035797101449,0.25283727536231887,0.6811594202898551,0.043478260869565216,0.043478260869565216,0.0,0.07246376811594203,,,
Bosque Calderón Tejada 2,-74.05647893183503,4.642656642539403,90.0,,0.024229027027027027,0.0035187837837837833,0.08885262162162162,0.020701027027027027,0.08526224324324325,0.19431035135135136,0.33938354054054054,0.08108108108108109,0.0,0.1891891891891892,0.0,0.21621621621621623,,,
Bosque Calderón Tejada III Sector,-74.05807886230514,4.643086510182771,90.0,0.0,0.012327857142857142,0.0062411428571428566,0.08463242857142858,0.028625142857142856,0.12634714285714285,0.13200914285714285,0.38770314285714286,0.14285714285714285,0.0,0.0,0.0,0.0,75.0,20813.811786551272,0.0
Bosque El Retiro I Sector,-74.04717358144845,4.663590927861352,88.0,0.0,0.02433398795180723,0.08415750602409638,0.11490260240963855,0.025989915662650603,0.23986731325301205,0.1157071686746988,0.15252746987951807,0.26506024096385544,0.03614457831325301,0.10843373493975904,0.0,0.14457831325301204,1301.0,16605.840312415177,0.0
Bosque Izquierdo,-74.067368700176,4.611042160242194,92.0,0.0,0.10659194117647058,0.048414411764705886,0.06064211764705882,0.03646352941176471,0.14165529411764705,0.05098205882352941,0.3532215294117647,0.5882352941176471,0.0,0.11764705882352941,0.0,0.058823529411764705,895.0,2624.165378494255,0.0
Bosque Popular - El Trébol,-74.09584136901817,4.6717827488499335,26.0,0.0,0.010684208333333334,0.007067250000000001,0.07254658333333333,0.05101,0.32198133333333334,0.2978908333333333,0.07423658333333333,0.8333333333333334,0.041666666666666664,0.125,0.0,0.20833333333333334,919.0,19315.894704147544,0.0
Bosque de Modelia,-74.12290352498427,4.672581399070512,114.0,0.0,0.0813750243902439,0.01214570731707317,0.09477817073170731,0.05838246341463414,0.19844751219512194,0.19579782926829267,0.1951598780487805,0.4634146341463415,0.0,0.0,0.0,0.14634146341463414,3180.0,32615.1819720696,0.0
Bosques de Kennedy,-74.1559184354211,4.621262728474283,47.0,0.0,0.03502458904109589,0.009114219178082191,0.11910587671232878,0.031098219178082188,0.19732376712328767,0.15693572602739725,0.22924069863013696,1.4657534246575343,0.0136986301369863,0.0273972602739726,0.0,0.4520547945205479,1814.0,50525.64394327669,0.0
Bosques del Salitre,-74.0999606824124,4.634959902888725,107.0,0.0,0.06041520689655172,0.002095344827586207,0.13602720689655173,0.061720965517241384,0.07415055172413793,0.3066781379310345,0.20501710344827587,0.5517241379310345,0.13793103448275862,0.1724137931034483,0.0,0.0,536.0,15407.402228315554,0.0
