Barrio,Matched_Barrio,UPZ_codigo
7 DE AGOSTO E-12,Siete de Agosto,98
ABRAHAM LINCON E-6,Abraham Lincon,47
AGUAS CLARAS E-4,Aguas Claras,30
ALAMEDA DEL SUR E-18,Alameda del Sur,53
ALAMEDA E-3,Alameda,74
ALAMOS SUR E-10,Alameda,74
ALCALA  E-11,Alcalá,41
ALCALÁ E-16,Alcalá,41
ALFONSO LOPEZ E-5,Alfonso López,100
ALFONSO LÓPEZ SECTOR CHARALA E-5,Alfonso López,100
ALMENDROS TINTALITO BOSA E-8,Tintalito,82
ALQUERÍA LA FRAGUA E-8,Alquería La Fragua,45
ALTOS DEL VIRREY E-4,Urb. Altos del Virrey,50
AMAPOLA E-4,Amapolas,32
ANDALUCÍA E-7,Andalucía,9
ANDALUCÍA E-8,Andalucía,9
ANGULO E-4,El Angulo,34
ANTONIA SANTOS E-7,Antonia Santos,85
ANTONIO JOSE DE SUCRE E-5,Antonio José de Sucre III,58
ANTONIO JOSÉ DE SUCRE III SECTOR E-5,Antonio José de Sucre III,58
ARABIA E-19,Arabia,68
ARAUQUITA E-1,Arauquita,11
ARBOLEDA SUR E-18,Arboleda Sur,54
ARBORIZADORA ALTA E-19,Arborizadora Alta,70
ARBORIZADORA BAJA E-19,Arborizadora Baja,65
ARGELIA E-7,Argelia,45
ARGELIA E-8,Argelia,45
ATAHUALPA E-9,Atahualpa,75
ATENAS E-4,Atenas,34
AURES I-II E-11,Aures I,28
AURES II E-11,Aures II,28
BARCELONA E-4,Barcelona,43
BARRANCAS E-1,Barrancas,11
BELLA VISTA SUR E-4,Bella Vista,28
BELLAVISTA ALTA E-5,Bellavista,28
BELLAVISTA E-19,Bellavista,28
BELLAVISTA E-8,Bellavista,28
BELLO HORIZONTE E-4,Bello Horizonte,34
BILBAO E-11,Bilbao I Sector,71
BILBAO II ETAPA E-11,Bilbao II Sector,71
BOCHICA E-10,Bochica II,72
BOGOTA SUR - LA ESPERANZA E-19,Esperanza,55
BOHIOS DE HUNZA E-9,Los Bohíos de Hunza III Sector,76
BOITA E-8,Boita I Sector,48
BOMBAY E-8,Bombay,45
BONANZA E-10,La Bonanza,26
BONANZA SUR E-19,Bonanza Sur,69
BOSA CARBONEL II E-7,S.C Bosa,85
BOSA CENTRO E-7,S.C. Centro Usme,61
BOSA E-7,S.C Bosa,85
BOSA NOVA E-7,Bosa Nova,84
BOSQUE CALDERÓN E-2,Bosque Calderón Tejada 2,90
BOSQUE DE SAN CARLOS E-18,Bosque de San Carlos,36
BOSQUES DE CASTILLA E-8,Bosques de Castilla,46
BOSQUES DE MODELIA E-9,Modelia,114
BOSQUES DE SAN JOSÉ E-18,Bosques de San José,55
BOSTON E-9,Boston,75
BRASIL II SECTOR II ETAPA E-7,Brasil II Sector,84
BRASILIA I SECTOR E-7,Brasilia I Sector,84
BRASILL II SECTOR E-7,Brasil II Sector,84
BRAVO PÁEZ E-18,S.C. Bravo Paez,39
BULEVAR DEL SUR E-5,Bulevar del Sur,57
CALDAS E-7,Caldas,86
CALIFORNIA   E-8,California,11
CALLEJÓN DE SANTA BÁRBARA E-18,Santa Bárbara,95
CANDELARIA III-IV E-19,Villa Candelaria,70
CANDELARIA LA NUEVA I SECTOR E-19,Candelaria la Nueva,66
CANTALEJO E-11,Cantalejo,18
CARACOL E-8,El Caracol,79
CARACOLÍ E-10,El Caracol,79
CARACOLÍ E-19,El Caracol,79
CARTAGENA E-3,Cartagena,96
CARVAJAL E-8,Carvajal,45
CASA GRANDE E-19,Casa Grande,69
CASTILLA LA NUEVA E-8,Castilla,46
CASTILLA REAL     E-8,Castilla,46
CEMENTERIO (USME) E-5,S.C. Centro Usme,61
CENTRO ADMINISTRATIVO E-17,Centro Administrativo,94
CENTRO USME E-5,S.C. Centro Usme,61
CERROS DE ORIENTE E-18,Cerros de Oriente,54
CERROS DE SUBA E-11,Niza Suba - Cerros de Sotileza,24
CERROS NORTE E-1,Cerros Norte,11
CERVANTES E-8,Ciudad Kennedy Supermanzana 8,47
CHAPARRAL E-1,Chaparral,9
CHAPINERITO E-5,Chapinerito,59
CHAPINERO SUR OCC. E-13,S.C. Chapinero Norte,99
CHARLES DE GAULLE E-7,Charles De Gaulle,85
CHICALA E-7,Chicala,24
CHICO NORTE I E-2,S.C. Chico Norte,97
CHICO SUR E-7,Chico Sur,58
CHUCUA EL BURRO E-8,La Chucua,45
CHUNIZA E-5,Chuniza,58
CIUDAD DE CALI E-8,Ciudad de Cali,82
CIUDAD DE LONDRES E-4,Ciudad de Londres,51
CIUDAD GALÁN E-8,Ciudad Galán,82
CIUDAD GRANADA E-8,Ciudad Granada,82
CIUDAD JARDIN SUR E-15,Ciudad Jardín del Sur,35
CIUDAD KENNEDY CENTRAL E-8,Ciudad Kennedy Norte,47
CIUDAD KENNEDY SUR   E-8,Ciudad Kennedy Supermanzana 8,47
CIUDAD SALITRE II E-13,Ciudad Salitre,110
CIUDADELA COLSUBSIDIO E-10,Ciudadela Colsubsidio,72
CIUDADELA EL PORVENIR E-7,El Porvenir,3
CLARET E-18,S.C. Claret,39
CLARETIANO E-7,Claretiano,85
CLASS E-8,Class,81
COFRADIA E-9,Urb. Cofradía,115
COLMENA I E-4,La Colmena,50
COLOMBIA E-12,Colombia,98
COMPARTIR E-19,Bochica Compartir,72
COMPOSTELA I E-5,Compostela I,57
CONJUNTO RESIDENCIAL MANUEL MEJIA E-8,Conjunto Residencial Yaiti,71
CORABASTOS E-8,Corabastos,80
DANUBIO AZUL E-5,Danubio,84
DIAMANTE SUR E-7,Diamante Sur,84
DIANA TURBAY E-18,Diana Turbay,55
DINDALITO E-8,Dindalito,82
DOCE DE OCTUBRE E-12,12 de Octubre,22
DUITAMA DESARROLLO E-5,Duitama,56
ECHEVERRY E-7,Gloria Lara De Echeverry II,28
EDUARDO SANTOS E-14,Eduardo Santos,37
EL AMPARO E-8,El Amparo,80
EL ANHELO E-7,El Anhelo,86
EL CARMELO E-8,El Carmelo,81
EL CARMEN E-9,El Carmen,28
EL CEDRO (ENGATIVÁ CENTRO) E-10,El Cedro,71
EL CERRITO E-18,El Cerrito,54
EL CHARCO I E-9,El Charco,77
EL CODITO E-1,El Codito,9
EL CONDADO REAL E-11,El Real,31
EL CONSUELO E-18,El Consuelo,96
EL CORZO E-7,El Corzo,86
EL CURUBO E-5,El Curubo,57
EL DIVINO NIÑO E-19,Divino Niño,68
EL DORADO E-3,El Dorado,96
EL EJIDO E-16,El Ejido,108
EL ENSUEÑO E-19,El Ensueño,69
EL JARDÍN E-1,El Jardín,85
EL JARDÍN E-7,El Jardín,85
EL JORDAN E-11,El Jordán I,28
EL MIRADOR E-19,El Mirador,74
EL MOCHUELO ORIENTAL E-19,S.C El Mochuelo Oriental,56
EL MORTIÑO E-10,El Mortiño,58
EL MUELLE  E-10,El Muelle I,74
EL NEVADO E-5,El Nevado,57
EL OTOÑO E-1,El Otoño,9
EL PALMAR E-7,El Palmar,85
EL PORTAL E-18,El Portal,55
EL PORVENIR E-10,El Porvenir,3
EL PORVENIR E-5,El Porvenir,3
EL PORVENIR E-7,El Porvenir,3
EL PROGRESO E-14,El Progreso,37
EL PROGRESO II E-5,El Progreso,37
EL RECUERDO E-7,El Recuerdo,86
EL RECUERDO SAN JORGE ALTO E-18,El Alto,90
EL RECUERDO SUR E-19,El Recuerdo,86
EL REFUGIO E-5,El Refugio,88
EL REGALO II SECTOR E-7,El Regalo,86
EL REMANSO E-7,Remanso,40
EL RESTREPO E-15,Restrepo,38
EL RINCÓN DE CASTILLA E-8,Castilla,46
EL ROSAL - MIRADOR E-5,El Mirador,74
EL ROSARIO E-12,El Rosario,103
EL SOCORRO E-18,El Socorro,54
EL TANQUE E-19,Urb. El Tanque,85
EL TESORITO E-19,El Tesorito,68
EL TESORO E-19,El Tesoro,68
EL TINTAL E-8,El Tintal,78
EL TRIUNFO E-3,El Triunfo,96
EL TRIUNFO SUR E-19,El Triunfo,96
EL TUNAL II E-6,S.C. El Tintal II,77
EL UVAL E-5,El Uval,61
EL VERBENAL III SECTOR E-1,El Verbenal III Sector,9
EL VIRREY ULTIMA ETAPA E-5,El Virrey,58
ENTRERIOS E-12,Entrerios,21
ESTACIÓN CENTRAL E-16,Estación Central,108
FERIAS E-10,Las Ferias,26
