Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
2016/4/30,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VOTO NACIONAL E-14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,47,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/10/17,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,VOTO NACIONAL E-14,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,55,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/11/8,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,2001/1/1,VOTO NACIONAL E-14,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,30,MASCULINO,UNION LIBRE,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/6,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VOTO NACIONAL E-14,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33,MASCULINO,CASADO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/3/10,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,2001/1/1,VOTO NACIONAL E-14,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/1/31,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VOTO NACIONAL E-14,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/10/20,CUNDINAMARCA,BOGOTÁ D.C. (CT),Jueves,2001/1/1,VITELMA E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,40,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/14,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,VITELMA E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,25,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/15,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,VITELMA E-4,URBANA,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,31,FEMENINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,PRIMARIA,11001000,1
2016/3/19,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VITELMA E-4,URBANA,BOSQUES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,31,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/2/28,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VISTA HERMOSA E-19,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,51,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/7,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VISTA HERMOSA E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,54,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/1/8,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VISTA HERMOSA E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/6/18,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VISTA HERMOSA E-19,URBANA,BILLARES,ARMA DE FUEGO,A PIE,A PIE,26,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/12/25,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VISTA HERMOSA E-19,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,24,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/11/21,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,VISION DE COLOMBIA E-8,URBANA,DENTRO DE LA VIVIENDA,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,32,MASCULINO,SOLTERO,COLOMBIA,DESEMPLEADO,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/21,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLEMAR CENTRAL E-9,URBANA,BARES,,,,,,,,,,,,
2016/2/7,CUNDINAMARCA,BOGOTÁ D.C. (CT),Domingo,2001/1/1,VILLAS DEL PROGRESO E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,33,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,PRIMARIA,11001000,1
2016/2/5,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLAS DE VALERO E-7,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/11/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),Miércoles,2001/1/1,VILLAS DE SAN DIEGO E-8,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,30,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/9/24,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VILLAS DE GRANADA E-10,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,23,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,SECUNDARIA,11001000,1
2016/5/21,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VILLAS DE BOLÍVAR E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,27,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/1/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),Sábado,2001/1/1,VILLAS DE BOLÍVAR E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,17,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/9/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLAS DE BOLÍVAR E-19,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,36,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/8/22,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,VILLA XIMENA E-6,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,30,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/10/31,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,VILLA SONIA E-7,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,A PIE,A PIE,34,MASCULINO,UNION LIBRE,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/5/6,CUNDINAMARCA,BOGOTÁ D.C. (CT),Viernes,2001/1/1,VILLA SAGRARIO E-10,URBANA,LOCAL COMERCIAL,ARMA DE FUEGO,A PIE,A PIE,57,MASCULINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
2016/9/5,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,2001/1/1,VILLA ROSITA E-4,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,19,FEMENINO,SOLTERO,COLOMBIA,INDEPENDIENTE,NO REPORTADO,SECUNDARIA,11001000,1
