objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,barrio,longitude,latitude,upz_code,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,population_y,pop_density_y,murder_rate,source,Matched_Barrio,Cantidad,murder_rate_per_1000
206,14,Los Mártires,LEGALIZADO,santa fe,140018,5.76E-05,0.031034246,102,706923.4043,7765,10984.21689,0.028669689,0,0.12734235,0.843987961,0,0,0,17911.19345,7087.425153,0.395698097,6962.026092,0.38869694,0,0,1732.099158,0.096704843,0,0,937.0014783,0.052313738,1161.548215,0.064850409,Santa Fe,-74.07722726,4.615438426,102,0.009534883,0.013016561,0.134553724,0.057856127,0.359042483,0.204049061,0.04677861,1.437116564,0.207055215,0.085889571,0,0.122699387,7765,10984.21689,0.000901481,2016central,santa fe,22,2.833226014
28,1,Usaquén,LEGALIZADO,san bernardo,10187,7.82E-07,0.003642058,16,9592.693685,81,8443.926457,0,0,0,0,0,0,1,124.8422834,0,0,0,0,0,0,124.8422834,1,0,0,0,0,0,0,San Bernardo,-74.03709418,4.691362275,16,0.083321,0.007533,0.0711205,0.003836,0.124579,0.417982,0.2225375,0,0,0.5,0,0,81,8443.926457,0.160493827,2016north,san bernardo,13,160.4938272
3849,15,Antonio Nariño,LEGALIZADO,restrepo,150012,3.65E-05,0.026300582,38,447762.417,4996,11157.70286,0.096281355,0,0,0.903718645,0,0,0,12695.84527,6281.566196,0.494773374,5440.017296,0.428487996,0,0,0,0,597.1255963,0.04703315,260.0685504,0.02048454,0,0,Restrepo,-74.10131107,4.585136771,38,0.002660818,0.00198222,0.081988566,0.062159981,0.388952862,0.185449877,0.028262186,3.160377358,0.044025157,0.103773585,0,0.132075472,4996,11157.70286,0.00020016,2016south,restrepo,12,2.401921537
617,4,San Cristóbal,LEGALIZADO,la victoria,40087,1.43E-06,0.004843069,50,17507.56178,627,35813.09653,0,0,1,0,0,0,0,617.5042821,419.5384157,0.679409727,197.9658664,0.320590273,0,0,0,0,0,0,0,0,0,0,La Victoria,-74.09194068,4.551810472,50,0,0,0.01976275,0.086467625,0.48436725,0.110173125,0.005316125,3.5,0,0.125,0,1.5,627,35813.09653,0.015948963,2016south,la victoria,11,17.54385965
3040,14,Los Mártires,LEGALIZADO,el progreso,140005,2.27E-05,0.023431741,37,278461.5761,5348,19205.52226,0.104646781,0,0,0.895353219,0,0,0,8493.466691,3749.974703,0.441512852,3070.896346,0.361559827,0,0,243.5439137,0.028674265,364.9635054,0.042969911,3.377950497,0.000397712,850.6090464,0.100148629,El Progreso,-74.08730451,4.721678465,28,0.022295667,0,0.011353917,0.02284125,0.843975083,0.03298075,0.000879583,0.333333333,0,0,0,0,5348,19205.52226,0.000186986,2016north,el progreso,10,1.869857891
3012,12,Barrios Unidos,LEGALIZADO,la paz,120026,2.64E-05,0.021423133,98,323843.6067,3351,10347.58732,0.017165501,0,0,0.982834499,0,0,0,8662.419856,3113.677922,0.359446664,3830.67045,0.44221713,0,0,1560.061337,0.180095327,0,0,0,0,158.0101473,0.018240878,La Paz,-74.1424977,4.709181716,74,0.027887,0,0.168352667,0.004314333,0.288597,0.301436333,0.050492333,0,0,0,0,0.333333333,3351,10347.58732,0.000298418,2016north,la paz,10,2.984183826
1318,19,Ciudad Bolívar,LEGALIZADO,villa candelaria,190206,7.23E-06,0.017185927,70,88730.13399,2784,31376.03737,0.363373363,0,0.636626637,0,0,0,0,710.0858208,249.4524233,0.351298978,26.2578267,0.036978385,0,0,0,0,204.1738423,0.287534036,230.2017285,0.324188601,0,0,Villa Candelaria,-74.15231684,4.568681587,70,0.042399947,0.001859105,0.082430789,0.069352,0.221040842,0.305820789,0.119602263,0.421052632,0.052631579,0,0,0.052631579,2784,31376.03737,0.003232759,2016south,villa candelaria,9,3.232758621
229,8,Kennedy,SIN LEGALIZAR,carvajal,80041,9.19E-05,0.073666748,45,1127769.813,14557,12907.77588,0.071601739,0,0,0.928398261,0,0,0,28787.46561,10642.10015,0.369678258,13264.59199,0.460776651,0,0,2576.25607,0.089492285,373.6767386,0.012980536,0,0,1896.355311,0.06587434,Carvajal,-74.13633462,4.613792172,45,0.025545,0.005121084,0.119502463,0.046892227,0.282294216,0.240130484,0.052350375,1.239215686,0.121568627,0.078431373,0.001960784,0.170588235,14557,12907.77588,0.000618259,2016central,carvajal,9,0.618259257
1081,8,Kennedy,LEGALIZADO,maria paz,80186,2.99E-05,0.024959923,80,366370.2433,12444,33965.64057,0.149897302,0,0.753475217,0.096627481,0,0,0,14592.75709,3415.833494,0.234077321,4368.621242,0.299369147,0,0,1955.02467,0.133972262,2356.773664,0.161502974,2484.841771,0.170279115,0,0,Maria Paz,-74.15751157,4.636057207,80,0.04452611,0.014216247,0.073069087,0.036640653,0.206539196,0.193207187,0.012822635,0.876712329,0.03652968,0.054794521,0,0.566210046,12444,33965.64057,0.00064288,2016central,maria paz,8,0.642880103
1070,8,Kennedy,LEGALIZADO,el amparo,80082,2.07E-05,0.022219851,80,253724.639,12234,48217.62699,0.0745725,0,0.9254275,0,0,0,0,10617.58337,5002.323045,0.471135744,5129.908627,0.483152187,0,0,0,0,0,0,485.351701,0.045712069,0,0,El Amparo,-74.16537403,4.627578322,80,0.002608542,0.003138854,0.067079849,0.036530349,0.515431802,0.111626365,0.002180443,2.484375,0.03125,0.145833333,0.015625,0.171875,12234,48217.62699,0.000572176,2016central,el amparo,7,0.572175903
3358,6,Tunjuelito,LEGALIZADO,tunjuelito,60031,3.54E-05,0.024939467,62,434996.4574,9984,22951.91106,0.04204201,0,0.95795799,0,0,0,0,12249.45582,5487.980749,0.448018331,6282.504386,0.512880285,0,0,11.38576528,0.000929492,429.1063346,0.035030645,0,0,0,0,Tunjuelito,-74.12743943,4.561778695,62,0.011049776,0.008642171,0.073185111,0.045709811,0.355275271,0.149659361,0.00881675,1.026315789,0.065789474,0.023684211,0,0.431578947,9984,22951.91106,0.000701122,2016south,tunjuelito,7,0.701121795
