objectid,cod_loc,localidad,estado,barriocomu,cod_polbar,shape_area,shape_len,codigo_upz,area_m2,population_x,pop_density_x,estrato_0,estrato_1,estrato_2,estrato_3,estrato_4,estrato_5,estrato_6,street_total_length,street_len_CL,street_ratio_CL,street_len_KR,street_ratio_KR,street_len_None,street_ratio_None,street_len_AK,street_ratio_AK,street_len_TV,street_ratio_TV,street_len_DG,street_ratio_DG,street_len_AC,street_ratio_AC,fence_ratio,wall_ratio,road_ratio,sidewalk_ratio,building_ratio,sky_ratio,vegetation_ratio,person_count,bicyclist_count,motorcyclist_count,other_rider_count,street_light_count,source,Matched_Barrio,Cantidad,murder_rate_per_1000
35,8,Kennedy,SIN LEGALIZAR,alsacia,80009,7.45E-06,0.015249733,113,91369.41871,8,87.55664765,0.94208284,0,0,0.05791716,0,0,0,1565.189029,303.9188298,0.194173882,857.0294159,0.547556493,0,0,0.444224894,0.000283815,0.939074423,0.000599975,0,0,325.0377176,0.207666749,0.031308244,0.012113927,0.116918659,0.028872585,0.062718,0.342034366,0.066947561,0.975609756,0,0.268292683,0,0.12195122,2016central,alsacia,2,250
28,1,Usaquén,LEGALIZADO,san bernardo,10187,7.82E-07,0.003642058,16,9592.693685,81,8443.926457,0,0,0,0,0,0,1,124.8422834,0,0,0,0,0,0,124.8422834,1,0,0,0,0,0,0,0.083321,0.007533,0.0711205,0.003836,0.124579,0.417982,0.2225375,0,0,0.5,0,0,2016north,san bernardo,13,160.4938272
3406,9,Fontibón,SIN LEGALIZAR,urb. cofradía,90144,5.28E-06,0.009968644,115,64771.05748,13,200.7069284,0.846728532,0,0,0.153271468,0,0,0,765.9474699,0,0,0,0,0,0,128.246424,0.167435012,311.2522031,0.406362336,106.8351476,0.139481037,0,0,0.063400667,0,0.008834,0.000277333,0.172345,0.211280333,0.245401,1,0,0,0,0,2016north,urb. cofradía,2,153.8461538
1016,8,Kennedy,LEGALIZADO,corabastos,80078,3.81E-05,0.026361202,80,467085.5965,18,38.53683379,0.999951159,0,4.88E-05,0,0,0,0,2439.462804,157.6428441,0.06462195,154.5487763,0.063353611,0,0,568.2642151,0.232946456,334.3970072,0.137078133,1174.444423,0.481435675,0,0,0.015159451,0.013188383,0.151028579,0.005009459,0.098752564,0.252201602,0.037296075,0.473684211,0.007518797,0.112781955,0,1.263157895,2016central,corabastos,1,55.55555556
227,8,Kennedy,SIN LEGALIZAR,s.c. el tintal ii,90104,2.34E-05,0.033630417,77,287253.547,61,212.3559505,0.604451138,0,0.000268266,0.395280597,0,0,0,1727.64185,0,0,345.8530309,0.200187921,0,0,610.1995916,0.353197968,0,0,26.81419035,0.015520688,669.8107678,0.387702328,0.0171029,0.002973283,0.15362525,0.024891717,0.0490939,0.349475383,0.04464175,0.6,0.1,0.516666667,0,0.066666667,2016central,s.c. el tintal ii,3,49.18032787
139,5,Usme,SIN LEGALIZAR,s.c el mochuelo oriental,50191,7.40E-05,0.072934323,56,908091.5657,47,51.7568952,0.923502168,0,0.076497832,0,0,0,0,2664.237606,71.63621719,0.026888074,2257.35125,0.847278503,0,0,0,0,144.3574158,0.054183386,19.92977047,0.007480478,165.6504476,0.062175553,0,0,0.052931333,0.130965333,0.491230667,0.140419667,0.009335,2.666666667,0,0,0,0,2016south,s.c el mochuelo oriental,2,42.55319149
1161,8,Kennedy,LEGALIZADO,ciudad kennedy norte,80059,1.21E-05,0.017015181,47,148800.118,87,584.6769556,0.989133452,0,0,0.010866548,0,0,0,1978.051276,1095.79102,0.553975032,751.8786826,0.380110815,0,0,126.802295,0.064104655,0,0,0,0,0,0,0.021434824,0.002426265,0.112923941,0.0335675,0.273571618,0.174771029,0.103577412,3.147058824,0,0.088235294,0.058823529,0.941176471,2016central,ciudad kennedy norte,3,34.48275862
69,2,Chapinero,LEGALIZADO,santo domingo,20098,4.67E-07,0.002859697,90,5728.637687,110,19201.77292,0,0,0,0,1,0,0,174.4980725,90.12133795,0.516460363,79.67718165,0.456607804,0,0,0,0,4.69955293,0.026931833,0,0,0,0,0.083705733,0.034981733,0.099962933,0.015885867,0.046790467,0.145450267,0.346206733,0.133333333,0,0,0,0.066666667,2016central,santo domingo,3,27.27272727
2643,10,Engativá,LEGALIZADO,laureles ii,100125,4.49E-07,0.002941313,74,5510.594534,39,7077.276283,0,0,1,0,0,0,0,283.1712905,165.9689735,0.586108052,60.76954811,0.214603493,0,0,0,0,0,0,0,0,56.43276887,0.199288455,0.0854495,0.054211167,0.036890333,0.019107,0.1051015,0.2513435,0.1562805,0,0,0,0,0,2016north,laureles ii,1,25.64102564
1394,19,Ciudad Bolívar,LEGALIZADO,lucero bajo,190120,1.28E-06,0.005185707,67,15745.56781,281,17846.29194,0.317324643,0,0.682675357,0,0,0,0,565.2943338,313.9587812,0.555389931,251.3355526,0.444610069,0,0,0,0,0,0,0,0,0,0,0.011681,0.0011492,0.0217158,0.1111492,0.413799,0.2332642,0.0022778,5.2,0,0,0,0.2,2016south,lucero bajo,6,21.35231317
